frequency_Hz,mag_dB,phase_deg,step_index,step_k
12.834258975629076,-0.1406971729389918,-0.3694563105491582,0,0.1
12.923528306374958,-0.1406797752230372,-0.372027411804189,0,0.1
13.013418554419374,-0.14066382373885306,-0.37461671691729914,0,0.1
13.10393403858367,-0.14064278371222294,-0.377223218261291,0,0.1
13.195079107728983,-0.14062323035062665,-0.37984817943599763,0,0.1
13.286858140965156,-0.1406084617976267,-0.3824923174101471,0,0.1
13.379275547861162,-0.14058538909547497,-0.3851534488998889,0,0.1
13.472335768656947,-0.1405704208763253,-0.3878346151192066,0,0.1
13.566043274476765,-0.14055702372795378,-0.39053479812820785,0,0.1
13.660402567544,-0.14052883179471617,-0.3932511612947872,0,0.1
13.755418181397484,-0.14051864252304344,-0.39598978501847953,0,0.1
13.851094681109295,-0.14050025802518432,-0.3987460434207971,0,0.1
13.947436663504105,-0.14047370090383549,-0.40152004457385,0,0.1
14.044448757380025,-0.14045865971654137,-0.4043155723980898,0,0.1
14.142135623731003,-0.14044204750575806,-0.4071303459954666,0,0.1
14.240501955970773,-0.14042061028921343,-0.4099638808465936,0,0.1
14.33955248015833,-0.14039437199456947,-0.41281630165411315,0,0.1
14.439291955225018,-0.14037318992213044,-0.4156896232942305,0,0.1
14.539725173203164,-0.14035381113594497,-0.41858337767450976,0,0.1
14.640856959456315,-0.1403362606831622,-0.4214977191063044,0,0.1
14.742692172911074,-0.14031728622057782,-0.42443216027293806,0,0.1
14.845235706290554,-0.14029363568076625,-0.42738619733101973,0,0.1
14.94849248634945,-0.14026533504265562,-0.43035996156416484,0,0.1
15.05246747411074,-0.14024224403731697,-0.4333555547386724,0,0.1
15.15716566510405,-0.1402211117333201,-0.4363724902319204,0,0.1
15.26259208960566,-0.14019540964711105,-0.43940959898502324,0,0.1
15.368751812880195,-0.14017827666446164,-0.44246969803964087,0,0.1
15.475649935423972,-0.14015662933719097,-0.4455502805347042,0,0.1
15.58329159321007,-0.14013377377763464,-0.4486521645576072,0,0.1
15.69168195793509,-0.14010646072533361,-0.4517748194656878,0,0.1
15.800826237267621,-0.14009110889107543,-0.4549218316590107,0,0.1
15.910729675098453,-0.14006152427166096,-0.45808786353658304,0,0.1
16.02139755179252,-0.14003084841045124,-0.4612758101687582,0,0.1
16.13283518444261,-0.14000566760873082,-0.46448723773169126,0,0.1
16.245047927124794,-0.13997617858548125,-0.46772021039514355,0,0.1
16.358041171155712,-0.1399588026879889,-0.4709784424627265,0,0.1
16.471820345351553,-0.1399240689842946,-0.47425569112108334,0,0.1
16.586390916288924,-0.13990479017549767,-0.4775592804143828,0,0.1
16.70175838856748,-0.13987477397908443,-0.4808836243747931,0,0.1
16.817928305074386,-0.13984388750827148,-0.484231045832586,0,0.1
16.93490624725064,-0.1398121640761139,-0.48760171389872714,0,0.1
17.052697835359233,-0.13978291566625398,-0.4909965429140051,0,0.1
17.17130872875518,-0.13974962011666836,-0.49441422269341906,0,0.1
17.290744626157405,-0.1397188685858442,-0.4978564196019305,0,0.1
17.411011265922586,-0.13969069633907702,-0.5013233245722579,0,0.1
17.53211442632081,-0.139658582484972,-0.5048136010235714,0,0.1
17.654059925813208,-0.13962911979586728,-0.5083289515072464,0,0.1
17.776853623331515,-0.13960562338262467,-0.5118703474858461,0,0.1
17.900501418559564,-0.139571738560919,-0.5154340995386719,0,0.1
18.02500925221672,-0.13953733803691992,-0.5190227009205783,0,0.1
18.150383106343334,-0.13950573845701889,-0.5226371282709826,0,0.1
18.27662900458813,-0.13947370012820254,-0.5262767876975974,0,0.1
18.403753012497624,-0.139437983770968,-0.5299410650707022,0,0.1
18.53176123780754,-0.13939862907078807,-0.5336301339159083,0,0.1
18.660659830736275,-0.1393655120108147,-0.5373466109237186,0,0.1
18.790454984280366,-0.13933539503823833,-0.5410899041105217,0,0.1
18.921152934512047,-0.13929848374809867,-0.5448577504809922,0,0.1
